SAFE|zero-ahead|fix/agent-orchestrator-mislabeled-project-blocks|56675d52d1|age_days=13|ahead=0|/Users/jleechan/.worktrees/jleechanclaw/fix-mislabel/
NEEDS-REVIEW|uncommitted=1805|HEAD||age_days=0|ahead=0|/Users/jleechan/.worktrees/jleechanclaw/fix-monitor-gateway-label/
NEEDS-REVIEW|unpushed-ahead-2|fix/pr-616-review-comments|041f956ebc|age_days=32|ahead=2|/Users/jleechan/.worktrees/jleechanclaw/fix-pr-616/
NEEDS-REVIEW|unpushed-ahead-2|fix/llm-narration-thread|28831e499f|age_days=33|ahead=2|/Users/jleechan/.worktrees/jleechanclaw/fix-pr-618/
NEEDS-REVIEW|unpushed-ahead-2|fix/spend-alert-channel-and-tag|d7d640ee78|age_days=22|ahead=2|/Users/jleechan/.worktrees/jleechanclaw/fix-spend-alert-channel-and-tag/
NEEDS-REVIEW|unpushed-ahead-2|fix/watchdog-back-ass-guard|5a980ee3f5|age_days=32|ahead=2|/Users/jleechan/.worktrees/jleechanclaw/fix-watchdog-back-ass/
NEEDS-REVIEW|unpushed-ahead-1827|feat/hermes-deploy-skillify|231b85081d|age_days=16|ahead=1827|/Users/jleechan/.worktrees/jleechanclaw/hermes-deploy-skillify/
NEEDS-REVIEW|unpushed-ahead-1827|feat/hermes-deploy-soul-fastpath|350615f71c|age_days=16|ahead=1827|/Users/jleechan/.worktrees/jleechanclaw/hermes-deploy-soul-fastpath/
NEEDS-REVIEW|unpushed-ahead-2|fix/hermes-tag-channel-move|c009daa976|age_days=14|ahead=2|/Users/jleechan/.worktrees/jleechanclaw/hermes-tag-channel-move/
NEEDS-REVIEW|unpushed-ahead-3|HEAD|487eff5576|age_days=98|ahead=3|/Users/jleechan/.worktrees/jleechanclaw/jc-1795-pr537/
NEEDS-REVIEW|uncommitted=1|docs/cmux-terminal-review-skill-2026-04-16|c12f743c1a|age_days=90|ahead=1445|/Users/jleechan/.worktrees/jleechanclaw/jc-549-fix/
NEEDS-REVIEW|uncommitted=2|fix/cron-slack-thread-migration|a069084c88|age_days=29|ahead=1|/Users/jleechan/.worktrees/jleechanclaw/jc-pr-630/
NEEDS-REVIEW|uncommitted=22|fix/remove-self-hosted-mikey-fallback|f0e5503c38|age_days=7|ahead=4|/Users/jleechan/.worktrees/jleechanclaw/mikey-cleanup/
NEEDS-REVIEW|uncommitted=8|fix/runner-qdrant-keychain-durability|3d73fdb4a1|age_days=41|ahead=1641|/Users/jleechan/.worktrees/jleechanclaw/runner-qdrant-keychain-durability/
NEEDS-REVIEW|uncommitted=7|fix/soul-push-pr-donot-stop-halfway|b118304c82|age_days=23|ahead=1761|/Users/jleechan/.worktrees/jleechanclaw/soul-push-dont-stop/
NEEDS-REVIEW|uncommitted=94|fix/soul-push-pr-donot-stop-halfway|d5b9841a4f|age_days=17|ahead=4|/Users/jleechan/.worktrees/jleechanclaw/soul-push-retrigger/
NEEDS-REVIEW|unpushed-ahead-1827|chore/soul-trim-48660|a1cee89a88|age_days=17|ahead=1827|/Users/jleechan/.worktrees/jleechanclaw/soul-trim-48660/
NEEDS-REVIEW|uncommitted=8|fix/wa-daily-test-watcher-idempotency|29811abc36|age_days=37|ahead=1644|/Users/jleechan/.worktrees/jleechanclaw/wa-daily-watcher-fix/
PRESERVE|young|feat/ao-cronjob-template-library|b55d85189c|age_days=3|ahead=11|/Users/jleechan/.worktrees/jleechanclaw/watchdog-20min/
NEEDS-REVIEW|unpushed-ahead-1|fix/drop-worldai-bugs-fallback|1f60b76|age_days=14|ahead=1|/Users/jleechan/.worktrees/jleechanorg-fix/agent-orchestrator/
NEEDS-REVIEW|unpushed-ahead-1|fix/drop-worldai-bugs-fallback|6c311d1|age_days=14|ahead=1|/Users/jleechan/.worktrees/jleechanorg-fix/ai_universe_frontend/
NEEDS-REVIEW|unpushed-ahead-1|fix/drop-worldai-bugs-fallback|fe526f1|age_days=14|ahead=1|/Users/jleechan/.worktrees/jleechanorg-fix/ai_universe/
NEEDS-REVIEW|unpushed-ahead-1|fix/drop-worldai-bugs-fallback|9b71d35|age_days=14|ahead=1|/Users/jleechan/.worktrees/jleechanorg-fix/cindil-health/
NEEDS-REVIEW|unpushed-ahead-1|fix/drop-worldai-bugs-fallback|cfd809c|age_days=14|ahead=1|/Users/jleechan/.worktrees/jleechanorg-fix/dark-factory/
